Keyword/Phrases,Personalization,Positivity,Well-being,Excitement,Association,Sustainability,Security / Anxiety,Care,Convenience
Happy ,1,3,4,6,7,8,9,2,5
Satisfied,5,5,6,6,6,7,5,5,5
Why,2,-5,-5,-7,-7,-5,-7,-8,-7
Fucking,-7,-8,-9,-7,-6,-5,-8,-7,-7
Idiots,-9,-9,-8,-8,-7,-6,-6,-5,-7
Problem,-6,-7,-6,-6,-5,-4,-5,-3,-5
Fault,-6,-6,-5,-5,-5,-5,-6,-4,-7
God,-8,-6,-7,-7,-6,-7,-6,-6,-4
Please,6,5,5,6,6,4,4,5,6
Christ,-8,-6,-7,-7,-6,-7,-6,-6,-4
ok,7,6,6,6,6,7,5,6,6
Crash,-8,-8,-7,-7,-5,-8,-7,-8,-7
working,8,8,7,8,8,7,7,8,7
Not working,-8,-8,-7,-8,-8,-7,-7,-8,-7
Not Happy,-7,-8,-8,-6,-9,-6,-7,-7,-8
Fail,-9,-8,-8,-8,-8,-8,-8,-8,-9
understand,8,7,7,5,7,8,6,7,7
applogize,-9,-8,-8,-4,-7,-5,-5,-5,-6
I appologize,9,8,8,4,7,6,7,6,6
objection,-6,-5,-4,-5,-6,-7,-4,-3,-3
complain,-8,-7,-7,-8,-4,-4,-7,-7,-7
compliment,9,8,7,8,7,6,7,8,8
Is the Data Safe,6,-2,-3,-4,-2,-2,-5,4,5
It looks complicated,6,-3,-2,2,6,6,-2,5,5
Can you take care of it,8,7,6,4,7,7,-3,6,7
Was it done successfully,5,-3,-2,2,2,4,-3,4,5
I don't think so,-2,-5,-4,-4,-2,-3,-5,-4,-4
I think so,5,7,4,4,5,6,5,7,6
Can you do this?,7,7,6,6,6,5,-2,5,6
